IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
----------------+----------------------------------------------+--------+-------+----------+-----------------------+---------+----------------
64.130.57.92    | oRCAPW7UDU8fHSup7jvjkzZi97sfjXxbSbrBxEYvxGk  | 8001   | 8004  | 8010     | none                  | 3.0.11  | 3604001754
67.213.121.141  | 5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB | 8000   | 8003  | 8009     | 67.213.121.141:8899   | 3.0.12  | 3604001754
45.77.56.122    | 7Nn8qBJey7vXtVFMNBbbuN8UkujU8Y6nWzbHVGuf49yV | 8000   | 11222 | 11228    | none                  | 3.0.11  | 3604001754
64.130.42.87    | 2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC | 8000   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
88.216.222.158  | FNTPSUuRpDoJx1hwFmB5ncNLLMX42aE83P4hsFYUfNRL | 8000   | 8003  | 8009     | none                  | 3.0.12  | 3604001754
70.34.195.106   | ECNnK4VjcKTsABiw8FAp3JCE6tCmYyrEJthYVyMazmxi | 8001   | 9001  | 9007     | none                  | 0.714.30008| 3604001754
154.47.145.125  | HVXXmNKkmDZbZwj74iL2Y9Wu4SyrchBoxAfFYVAktLrG | 8001   | 9001  | 9007     | none                  | 0.714.30008| 3604001754
185.191.116.232 | sCANXAaS1a7yB8jz3USvGNLfd8DSc9r7TNzNSKKPkfY  | 8000   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
198.73.56.214   | pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2  | 8000   | 8003  | 8009     | none                  | 0.713.30008| 3604001754
102.211.135.179 | BFMufPp4wW276nFzB7FVHgtY8FTahzn53kxxJaNpPGu6 | 8001   | 9001  | 9007     | none                  | 0.804.30008| 3604001754
135.125.142.235 | 3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE | 8000   | 11222 | 11228    | none                  | 3.0.11  | 3604001754
38.244.189.115  | vahMVcSS3v6uwyFormV7FDAUbQSHwmy6vUedp1P7L42  | 8001   | 8004  | 8010     | none                  | 3.0.11  | 3604001754
185.167.205.6   | tcrkE5QNG87Zbexm6fdWMbn7A5MjLC4ML7i1JfHF7cj  | 8001   | 9001  | 9007     | none                  | 0.806.30102| 3652419286
84.32.186.46    | GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc | 12000  | 12003 | 12009    | none                  | 3.0.7   | 3604001754
5.187.35.246    | As9NxA9bCfhrVLAFyGeWG5X5iLYPGhU3R7nLfX3tN6am | 8000   | 5004  | 5010     | none                  | 3.0.11  | 3604001754
192.69.194.194  | 9bkyxgYxRrysC1ijd6iByp9idn112CnYTw243fdH2Uvr | 8000   | 11222 | 11228    | none                  | 3.0.11  | 3604001754
66.165.233.58   | 5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk  | 8001   | 9001  | 9007     | none                  | 0.804.30008| 3604001754
104.204.141.59  | anzaeL7Lsv71HW2mew8YcKGyGqL6qNn3xoNPRrejM73  | 8001   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
216.18.204.162  | E99w1XfS4UNM1xUKXWEuDmj8Mduy7u65jm2NCULTspSV | 8000   | 8003  | 8009     | 216.18.204.162:8899   | 3.1.2   | 3652419286
70.34.247.7     | EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W | 8000   | 11222 | 11228    | none                  | 3.0.12  | 3604001754
103.88.234.123  | vnd1Ps8w3fsi54qUMJxBhUWARES34Qw7JQXDZxvbysd  | 8000   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
185.191.117.75  | SENDa18d6LsC1f85AJXXMncBxQyFQKSJWZ1jaop5K87  | 8000   | 8003  | 8009     | none                  | 3.1.2   | 3652419286
207.246.84.247  | AfZTWYoFQbzqCMmUBTD7XwxFvjob1FVyCvkaXRryxtKc | 8000   | 5004  | 5010     | none                  | 3.0.12  | 3604001754
109.94.99.165   | scb1Z7du8NVSaHFXsafSjRdXr6xBjWR3iugikL739Y1  | 8001   | 8004  | 8010     | none                  | 3.1.5   | 2086771155
38.58.176.230   | 2E2JPuFhjkQvEJEeNGqVSwGLJa5GoFqabQTutGjg1bzw | 8000   | 8003  | 8009     | 38.58.176.230:8899    | 3.0.11  | 3604001754
199.247.6.155   | 49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb | 8001   | 9001  | 9007     | none                  | 0.714.30008| 3604001754
95.179.135.155  | 43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2 | 8000   | 5004  | 5010     | none                  | 3.0.11  | 3604001754
64.130.42.85    | ANC1u9sY36q3mi2MyVhtz71un8yLgTsFBUuyLcSPzKsk | 8000   | 11222 | 11228    | none                  | 3.0.11  | 3604001754
